1,FOLLOWS,3,2013,colleague
1,FOLLOWS,5,2018,mentor
1,LIKES,5,2003,teammate
2,FOLLOWS,3,2015,teammate
2,KNOWS,4,2004,teammate
2,KNOWS,5,2004,teammate
2,LIKES,4,2012,teammate
3,BLOCKS,1,1999,colleague
3,BLOCKS,2,1998,colleague
3,IS_FRIEND_OF,4,2001,mentor
3,KNOWS,4,2016,colleague
3,LIKES,1,1996,neighbor
4,BLOCKS,3,2003,classmate
4,BLOCKS,5,2015,neighbor
4,IS_FRIEND_OF,3,1996,colleague
4,KNOWS,1,2006,teammate
5,IS_FRIEND_OF,1,2018,mentor
5,IS_FRIEND_OF,3,2014,colleague
5,IS_FRIEND_OF,4,1992,colleague
5,LIKES,4,1992,teammate
